Society,Marla,Bedrooms,Bathrooms,Garage,Terrace,Kitchens,Drawing Rooms,Age (years),Condition (1-5),Price (PKR),Society_Encoded
DHA Phase 1-4,10,5,5,2,2,2,1,25,5,117005848,10
DHA Phase 1-4,7,5,4,2,1,2,1,11,1,72541300,10
DHA Phase 1-4,3,2,1,0,1,1,0,1,5,33789818,10
DHA Phase 1-4,5,2,2,1,0,1,1,24,5,56221653,10
DHA Phase 1-4,5,4,4,1,1,2,1,9,2,54282378,10
DHA Phase 1-4,7,3,3,1,1,3,1,27,5,80831894,10
DHA Phase 1-4,10,5,5,1,1,3,1,16,1,113610295,10
DHA Phase 1-4,5,3,2,0,1,1,1,14,5,48532607,10
DHA Phase 1-4,20,7,7,2,2,2,2,13,1,217326422,10
DHA Phase 1-4,10,6,6,1,1,3,1,15,4,99404582,10
DHA Phase 1-4,5,3,2,1,0,2,1,17,4,49485311,10
DHA Phase 1-4,20,7,7,2,1,2,1,15,5,196178325,10
DHA Phase 1-4,3,3,2,0,0,1,0,1,2,33574262,10
DHA Phase 1-4,15,4,4,1,1,2,2,14,1,151705596,10
DHA Phase 1-4,10,3,2,2,1,1,1,1,1,106602435,10
DHA Phase 1-4,5,4,3,1,1,1,1,5,3,57257819,10
DHA Phase 1-4,10,3,2,2,1,2,1,8,1,117883859,10
DHA Phase 1-4,10,4,4,1,1,3,1,7,2,106490907,10
DHA Phase 1-4,7,5,5,1,1,3,1,4,3,76268773,10
DHA Phase 1-4,5,4,4,1,1,2,1,10,3,61174476,10
DHA Phase 1-4,10,4,3,1,1,2,1,26,3,113627841,10
DHA Phase 1-4,5,3,3,1,0,1,1,9,3,56352833,10
DHA Phase 1-4,10,4,3,2,1,3,1,23,5,120067514,10
DHA Phase 1-4,7,3,2,1,1,2,1,14,1,73995058,10
DHA Phase 1-4,10,5,4,1,0,3,1,23,1,111443681,10
DHA Phase 1-4,7,3,2,1,0,2,1,20,5,72007618,10
DHA Phase 1-4,5,3,3,1,1,2,1,25,2,50370040,10
DHA Phase 1-4,5,4,4,0,1,2,1,14,3,57775658,10
DHA Phase 1-4,3,3,2,0,0,1,0,19,2,30991657,10
DHA Phase 1-4,7,4,4,1,0,2,1,6,3,81068378,10
DHA Phase 1-4,7,5,4,1,1,2,1,18,1,78843898,10
DHA Phase 1-4,5,4,4,1,0,2,1,11,1,57926606,10
DHA Phase 1-4,10,6,5,2,1,3,1,3,2,111927836,10
DHA Phase 1-4,10,6,6,1,1,3,1,25,2,100665685,10
DHA Phase 1-4,7,4,4,2,0,1,1,5,4,84039940,10
DHA Phase 1-4,3,3,3,0,1,1,0,18,5,36227558,10
DHA Phase 1-4,5,3,2,1,1,1,1,21,1,53750364,10
DHA Phase 1-4,10,4,4,2,1,2,1,18,5,115897228,10
DHA Phase 1-4,5,3,2,1,1,1,1,11,1,55859077,10
DHA Phase 1-4,5,2,1,0,1,1,1,2,1,50513397,10
DHA Phase 1-4,7,3,3,1,1,3,1,1,4,73706439,10
DHA Phase 1-4,10,3,3,1,1,2,1,2,1,113167886,10
DHA Phase 1-4,10,4,3,2,2,2,1,11,3,101494946,10
DHA Phase 1-4,10,4,3,2,0,1,1,4,4,101117388,10
DHA Phase 1-4,5,2,2,1,1,2,1,24,5,56470027,10
DHA Phase 1-4,10,6,6,2,2,2,1,5,1,117347041,10
DHA Phase 1-4,7,3,3,2,1,2,1,20,3,78981106,10
DHA Phase 5,20,6,6,2,1,3,2,29,3,189012349,13
DHA Phase 5,5,2,2,0,1,1,1,3,2,47184257,13
DHA Phase 5,15,4,3,3,1,3,2,19,5,140186748,13
DHA Phase 5,7,3,2,1,1,3,1,3,2,61812353,13
DHA Phase 5,5,4,3,1,1,3,1,22,2,51475738,13
DHA Phase 5,5,2,1,1,1,1,1,7,4,48646963,13
DHA Phase 5,5,2,1,0,1,1,1,27,2,39291811,13
DHA Phase 5,3,3,2,0,1,1,0,13,5,31237268,13
DHA Phase 5,15,5,5,3,2,3,1,14,5,137984813,13
DHA Phase 5,10,4,3,2,1,2,1,19,1,98579318,13
DHA Phase 5,20,6,5,2,2,3,1,18,1,179617346,13
DHA Phase 5,7,3,3,2,1,2,1,27,2,68137006,13
DHA Phase 5,5,2,2,1,1,1,1,28,1,43442103,13
DHA Phase 5,5,3,3,1,1,1,1,29,5,48572472,13
DHA Phase 5,5,4,3,0,1,2,1,1,4,46619995,13
DHA Phase 5,7,5,5,1,1,2,1,6,3,64602538,13
DHA Phase 5,5,3,2,1,0,2,1,17,5,45795422,13
DHA Phase 5,10,5,4,1,1,3,1,21,1,95284011,13
DHA Phase 5,5,2,1,0,0,2,1,23,3,46264270,13
DHA Phase 5,20,5,5,2,1,3,1,22,5,162297907,13
DHA Phase 5,5,2,1,1,1,1,1,19,3,44279772,13
DHA Phase 5,5,4,4,0,1,2,1,29,1,43258238,13
DHA Phase 5,5,3,2,1,0,1,1,23,3,48784015,13
DHA Phase 5,10,3,2,1,1,3,1,1,5,90159856,13
DHA Phase 5,5,3,3,1,0,1,1,12,2,43656113,13
DHA Phase 5,3,3,2,0,0,1,0,1,1,25568115,13
DHA Phase 5,7,5,5,1,0,1,1,5,3,65899357,13
DHA Phase 5,10,3,3,1,2,2,1,20,4,96758120,13
DHA Phase 5,7,4,3,2,0,1,1,3,3,63232726,13
DHA Phase 5,5,4,3,1,1,3,1,2,2,47604246,13
DHA Phase 5,20,5,5,2,1,3,1,10,1,178260355,13
DHA Phase 5,10,4,4,2,0,1,1,7,1,89613285,13
DHA Phase 5,10,6,5,1,0,3,1,4,4,94847885,13
DHA Phase 5,5,3,2,1,0,1,1,16,5,49241562,13
DHA Phase 5,10,3,3,1,2,2,1,7,5,97916937,13
DHA Phase 5,10,6,5,2,2,3,1,14,3,105141524,13
DHA Phase 5,20,6,5,2,2,3,2,6,5,190871684,13
DHA Phase 5,5,3,3,1,1,1,1,19,3,45509657,13
DHA Phase 5,15,4,3,2,1,3,2,2,5,138517405,13
DHA Phase 5,7,5,4,1,1,3,1,28,1,66956558,13
DHA Phase 5,7,3,2,2,1,2,1,9,2,60587723,13
DHA Phase 5,15,4,3,3,2,3,1,28,1,135338391,13
DHA Phase 5,7,3,2,2,2,2,1,29,1,64563611,13
DHA Phase 5,7,3,2,1,1,3,1,29,2,60695361,13
DHA Phase 5,5,2,1,0,1,1,1,14,1,42516093,13
DHA Phase 6,5,3,3,1,0,1,1,6,3,44656375,14
DHA Phase 6,20,6,5,1,1,2,2,12,2,142014744,14
DHA Phase 6,5,2,2,1,1,1,1,4,1,41691707,14
DHA Phase 6,10,3,3,1,1,2,1,29,1,72805548,14
DHA Phase 6,15,5,5,2,1,2,2,4,2,120064048,14
DHA Phase 6,5,4,3,1,0,2,1,11,2,43670770,14
DHA Phase 6,10,3,3,1,1,2,1,5,3,84003042,14
DHA Phase 6,7,4,4,1,1,1,1,12,1,52056032,14
DHA Phase 6,15,5,5,3,1,3,2,26,5,117583519,14
DHA Phase 6,15,6,5,2,2,3,1,12,3,116164247,14
DHA Phase 6,20,7,7,2,1,2,3,18,2,147202691,14
DHA Phase 6,5,3,3,0,1,1,1,12,5,38840414,14
DHA Phase 6,5,2,1,0,1,2,1,1,4,36591123,14
DHA Phase 6,15,7,6,2,1,2,2,27,4,113491849,14
DHA Phase 6,10,4,3,1,1,3,1,26,1,83155048,14
DHA Phase 6,10,4,4,1,0,2,1,17,5,78729764,14
DHA Phase 6,10,6,6,1,0,2,1,5,3,76572421,14
DHA Phase 6,3,3,2,0,1,1,0,12,1,22254813,14
DHA Phase 6,10,3,3,1,0,2,1,19,3,74672872,14
DHA Phase 6,20,7,6,2,2,3,3,18,1,158114022,14
DHA Phase 6,5,3,2,1,1,1,1,16,1,42887535,14
DHA Phase 6,10,6,5,1,0,2,1,16,5,84900443,14
DHA Phase 6,10,4,3,2,1,3,1,11,5,90410133,14
DHA Phase 6,20,7,6,2,1,3,1,3,1,149486087,14
DHA Phase 6,7,5,4,1,1,3,1,7,3,64463066,14
DHA Phase 6,5,2,1,1,0,1,1,5,3,42266373,14
DHA Phase 6,15,5,5,1,1,3,1,11,1,119653063,14
DHA Phase 6,3,3,2,0,0,2,0,17,4,21504074,14
DHA Phase 6,7,3,3,1,1,2,1,21,2,61977532,14
DHA Phase 6,5,3,2,1,0,2,1,16,3,37641151,14
DHA Phase 6,15,4,3,2,2,2,2,7,2,124611532,14
DHA Phase 6,10,5,5,1,1,3,1,3,2,85952104,14
DHA Phase 6,7,5,5,1,1,2,1,21,4,55374959,14
DHA Phase 6,5,2,2,0,1,2,1,12,5,42835979,14
DHA Phase 6,10,5,4,1,1,2,1,4,1,80411730,14
DHA Phase 6,3,2,2,0,0,1,0,0,4,22487544,14
DHA Phase 6,20,5,5,3,2,3,3,23,2,173339016,14
DHA Phase 6,10,6,5,2,1,3,1,14,2,88101254,14
DHA Phase 6,10,5,5,1,1,2,1,12,2,82736145,14
DHA Phase 6,10,5,4,2,2,2,1,9,4,82784825,14
DHA Phase 6,7,3,3,1,1,2,1,27,5,56712761,14
DHA Phase 6,7,3,2,1,0,2,1,24,1,53370207,14
DHA Phase 6,15,4,4,2,1,3,2,14,3,129801240,14
DHA Phase 7-8,5,2,1,1,0,1,1,19,3,32194589,15
DHA Phase 7-8,5,3,2,1,1,1,1,4,4,31806795,15
DHA Phase 7-8,15,7,6,2,2,3,2,19,2,99867688,15
DHA Phase 7-8,5,2,1,0,1,1,1,5,5,32657589,15
DHA Phase 7-8,5,2,2,0,0,1,1,17,3,25391644,15
DHA Phase 7-8,20,5,5,3,1,3,2,5,4,110587602,15
DHA Phase 7-8,5,3,2,1,0,1,1,0,5,31076414,15
DHA Phase 7-8,15,5,5,2,2,3,1,29,2,84938264,15
DHA Phase 7-8,15,6,5,2,1,2,2,0,1,84787839,15
DHA Phase 7-8,10,3,2,1,0,3,1,1,2,59647303,15
DHA Phase 7-8,5,2,2,1,1,1,1,12,1,28108194,15
DHA Phase 7-8,10,4,3,2,1,2,1,17,5,65165227,15
DHA Phase 7-8,7,5,5,1,1,1,1,20,1,41501184,15
DHA Phase 7-8,5,2,2,1,0,1,1,16,3,28246381,15
DHA Phase 7-8,3,2,1,0,0,1,0,8,3,17273121,15
DHA Phase 7-8,20,5,4,3,2,2,1,4,4,119379976,15
DHA Phase 7-8,5,4,3,1,1,2,1,12,5,30590176,15
DHA Phase 7-8,3,2,2,1,0,1,0,18,4,20447609,15
DHA Phase 7-8,5,3,2,1,0,2,1,13,3,33107565,15
DHA Phase 7-8,7,4,3,2,1,1,1,3,2,41239241,15
DHA Phase 7-8,5,4,3,0,1,2,1,23,1,29732961,15
DHA Phase 7-8,5,3,3,1,0,1,1,9,3,27631458,15
DHA Phase 7-8,10,3,2,1,1,2,1,9,2,57239485,15
DHA Phase 7-8,20,7,6,2,1,3,3,27,2,124685816,15
DHA Phase 7-8,10,4,4,1,0,1,1,2,4,63567379,15
DHA Phase 7-8,5,2,1,0,1,2,1,6,3,28047197,15
DHA Phase 7-8,5,2,2,1,1,1,1,6,5,32976320,15
DHA Phase 7-8,7,3,3,2,0,3,1,27,3,43787664,15
DHA Phase 7-8,5,4,4,0,0,1,1,3,3,29209119,15
DHA Phase 7-8,5,3,3,1,0,2,1,1,4,33382705,15
DHA Phase 7-8,5,2,1,1,1,1,1,11,5,31164762,15
DHA Phase 7-8,5,3,3,1,0,1,1,1,4,28556523,15
DHA Phase 7-8,10,6,6,1,1,2,1,22,2,55166553,15
DHA Phase 7-8,7,3,2,1,1,3,1,29,5,39272242,15
DHA Phase 7-8,20,5,5,2,2,2,2,5,2,124947836,15
DHA Phase 7-8,15,4,3,2,1,2,1,0,2,86109181,15
DHA Phase 7-8,5,3,3,0,1,1,1,19,2,29898664,15
DHA Phase 7-8,7,5,4,1,2,1,1,19,2,43759089,15
DHA Phase 7-8,5,3,2,1,1,1,1,29,3,32368638,15
DHA Phase 7-8,5,2,2,1,0,1,1,2,2,32980785,15
DHA Phase 7-8,10,4,4,1,1,1,1,3,1,60650030,15
DHA Phase 7-8,10,3,2,1,1,1,1,12,5,54899137,15
DHA Phase 7-8,7,3,3,2,1,3,1,27,5,48321335,15
DHA Phase 7-8,15,4,3,3,1,3,2,27,3,88046206,15
DHA Phase 7-8,10,4,3,1,1,2,1,28,1,57456177,15
DHA Phase 7-8,5,2,2,1,0,1,1,15,4,30907914,15
DHA Phase 7-8,10,6,6,1,1,2,1,19,4,61017224,15
DHA Phase 7-8,7,5,5,2,1,1,1,2,3,44848314,15
DHA Phase 7-8,15,4,4,2,1,3,1,20,5,93896173,15
DHA Phase 7-8,5,4,4,0,0,2,1,12,5,28317187,15
DHA Phase 7-8,3,3,2,0,0,1,0,20,4,16561917,15
DHA Phase 7-8,5,3,2,1,0,1,1,7,3,29813131,15
DHA Phase 7-8,5,3,2,1,1,1,1,16,1,33327544,15
DHA Phase 9 (Prism),7,3,3,2,0,3,1,7,5,35003159,16
DHA Phase 9 (Prism),7,5,4,1,1,3,1,22,5,30417685,16
DHA Phase 9 (Prism),10,3,3,1,0,1,1,22,3,43775448,16
DHA Phase 9 (Prism),15,6,5,1,1,3,1,13,4,63331305,16
DHA Phase 9 (Prism),10,5,5,1,0,1,1,4,2,39605286,16
DHA Phase 9 (Prism),3,3,3,0,1,1,0,8,2,14410707,16
DHA Phase 9 (Prism),3,3,2,0,0,1,0,25,2,12036250,16
DHA Phase 9 (Prism),5,4,3,0,1,3,1,15,4,21448477,16
DHA Phase 9 (Prism),3,2,1,0,0,2,0,26,4,12249008,16
DHA Phase 9 (Prism),5,3,2,0,0,1,1,16,5,20692347,16
DHA Phase 9 (Prism),15,6,6,3,2,3,2,29,5,75111018,16
DHA Phase 9 (Prism),10,4,4,1,0,3,1,21,3,41319579,16
DHA Phase 9 (Prism),7,3,2,1,1,3,1,26,2,29203031,16
DHA Phase 9 (Prism),7,3,2,1,1,3,1,2,3,29719807,16
DHA Phase 9 (Prism),3,3,3,1,0,2,0,9,2,13141996,16
DHA Phase 9 (Prism),5,2,2,1,0,2,1,9,2,21000697,16
DHA Phase 9 (Prism),10,6,5,1,0,2,1,15,5,44874624,16
DHA Phase 9 (Prism),7,4,3,2,1,2,1,13,1,35711083,16
DHA Phase 9 (Prism),5,4,3,0,0,3,1,18,5,20731668,16
DHA Phase 9 (Prism),5,3,2,0,0,1,1,20,5,19465949,16
DHA Phase 9 (Prism),5,2,2,0,1,2,1,28,3,19568614,16
DHA Phase 9 (Prism),10,5,4,1,1,2,1,29,2,44594794,16
DHA Phase 9 (Prism),3,2,2,0,0,2,0,12,4,13926761,16
DHA Phase 9 (Prism),10,5,4,1,1,3,1,29,1,43105567,16
DHA Phase 9 (Prism),3,3,3,0,0,1,0,24,4,12586061,16
DHA Phase 9 (Prism),5,3,2,1,0,1,1,5,4,22436329,16
DHA Phase 9 (Prism),10,6,6,1,1,3,1,2,5,47890160,16
DHA Phase 9 (Prism),10,4,4,1,2,2,1,20,3,42462446,16
DHA Phase 9 (Prism),7,5,5,2,0,1,1,20,2,35331922,16
DHA Phase 9 (Prism),10,4,3,1,2,2,1,0,1,40247771,16
DHA Phase 9 (Prism),3,3,2,0,0,2,0,23,1,13667728,16
DHA Phase 9 (Prism),3,3,2,0,0,1,0,22,4,13721151,16
DHA Phase 9 (Prism),20,7,6,2,2,3,1,23,3,79567197,16
DHA Phase 9 (Prism),20,4,4,2,1,3,1,23,3,93067832,16
DHA Phase 9 (Prism),10,5,5,1,1,3,1,13,1,44344999,16
DHA Phase 9 (Prism),20,4,4,2,1,2,3,11,1,80058959,16
DHA Phase 9 (Prism),3,2,1,0,0,1,0,22,1,11931558,16
DHA Phase 9 (Prism),5,3,2,1,0,1,1,16,1,22515167,16
DHA Phase 9 (Prism),5,3,3,1,0,1,1,15,1,23002149,16
DHA Phase 9 (Prism),7,5,5,2,1,2,1,7,4,33220685,16
DHA Phase 9 (Prism),20,6,6,2,1,2,1,13,4,86849430,16
DHA Phase 10-11,15,5,4,3,1,2,2,27,2,43190098,11
DHA Phase 10-11,10,6,5,1,1,3,1,19,3,27089396,11
DHA Phase 10-11,10,3,3,1,1,2,1,10,4,28366742,11
DHA Phase 10-11,5,2,1,0,0,1,1,14,2,12413450,11
DHA Phase 10-11,10,6,5,1,2,3,1,26,2,27634948,11
DHA Phase 10-11,7,3,3,1,2,3,1,15,3,20350049,11
DHA Phase 10-11,10,4,3,2,0,2,1,13,1,27932882,11
DHA Phase 10-11,20,4,3,2,1,3,2,26,5,55171576,11
DHA Phase 10-11,7,3,2,2,0,1,1,2,5,20256688,11
DHA Phase 10-11,5,3,2,0,1,1,1,10,2,15278420,11
DHA Phase 10-11,7,3,2,1,1,3,1,29,2,19058014,11
DHA Phase 10-11,5,3,2,1,0,1,1,8,3,14672840,11
DHA Phase 10-11,10,3,3,1,1,1,1,11,3,29828742,11
DHA Phase 10-11,5,2,1,1,0,1,1,7,4,14990570,11
DHA Phase 10-11,5,2,1,0,0,1,1,3,2,13579282,11
DHA Phase 10-11,5,4,4,0,0,2,1,19,4,15957849,11
DHA Phase 10-11,10,5,4,1,1,1,1,5,3,25948086,11
DHA Phase 10-11,5,3,2,1,0,1,1,7,3,14581075,11
DHA Phase 10-11,15,6,5,1,1,3,2,22,1,40110867,11
DHA Phase 10-11,20,5,5,3,1,3,2,27,1,53027070,11
DHA Phase 10-11,15,5,4,2,1,3,1,8,1,41866839,11
DHA Phase 10-11,5,4,4,0,0,2,1,8,4,13761941,11
DHA Phase 10-11,15,5,5,2,1,3,1,22,5,45427675,11
DHA Phase 10-11,5,4,4,1,1,2,1,20,5,15359457,11
DHA Phase 10-11,5,2,2,0,1,2,1,2,1,13027616,11
DHA Phase 10-11,20,7,7,2,1,3,3,8,3,61021794,11
DHA Phase 10-11,7,3,3,1,1,2,1,3,4,19222639,11
DHA Phase 10-11,5,2,2,1,1,1,1,26,1,14377996,11
DHA Phase 10-11,10,4,3,1,1,3,1,5,2,30892363,11
DHA Phase 10-11,5,3,3,1,1,1,1,7,3,15327256,11
DHA Phase 10-11,7,3,3,1,2,1,1,29,3,21910091,11
DHA Phase 10-11,5,4,4,1,0,2,1,10,1,15092600,11
DHA Phase 10-11,3,2,2,0,0,1,0,22,1,7238410,11
DHA Phase 10-11,10,4,4,1,2,1,1,0,4,30547614,11
DHA Phase 10-11,15,4,4,2,2,2,2,6,4,45512209,11
DHA Phase 10-11,3,2,1,0,0,1,0,16,4,8594179,11
DHA Phase 10-11,5,3,3,1,0,1,1,14,4,15173999,11
DHA Phase 10-11,20,7,6,2,2,3,2,1,3,57782488,11
DHA Phase 10-11,3,3,3,1,0,2,0,2,4,10476131,11
DHA Phase 10-11,10,3,2,2,2,2,1,16,1,28291853,11
DHA Phase 10-11,5,2,2,1,0,1,1,29,1,13063462,11
DHA Phase 10-11,7,3,2,2,1,2,1,3,3,19500638,11
DHA Phase 10-11,7,4,3,1,1,3,1,2,3,22769640,11
DHA Phase 10-11,20,6,6,2,1,3,1,27,1,55233680,11
DHA Phase 10-11,7,3,3,1,2,1,1,14,4,20254433,11
DHA Phase 10-11,7,4,3,1,1,2,1,29,3,19754859,11
DHA Phase 10-11,10,3,2,1,1,3,1,5,1,25734188,11
DHA Phase 13,5,2,1,0,1,1,1,12,4,9632043,12
DHA Phase 13,5,4,3,1,0,2,1,26,5,11658083,12
DHA Phase 13,5,2,1,0,1,1,1,2,4,11665803,12
DHA Phase 13,7,3,3,1,0,1,1,12,4,16426298,12
DHA Phase 13,7,3,2,1,1,2,1,18,3,14517261,12
DHA Phase 13,5,4,3,0,0,3,1,20,4,12145441,12
DHA Phase 13,7,3,2,1,2,1,1,14,2,15192591,12
DHA Phase 13,7,3,3,2,1,1,1,23,2,15393182,12
DHA Phase 13,10,6,5,2,1,3,1,18,3,24596574,12
DHA Phase 13,10,3,3,2,0,2,1,6,4,19318988,12
DHA Phase 13,10,3,2,1,2,2,1,18,2,22744782,12
DHA Phase 13,7,4,4,1,1,2,1,0,3,16110248,12
DHA Phase 13,7,4,4,2,2,2,1,27,3,16887191,12
DHA Phase 13,10,5,5,1,2,3,1,19,5,22111981,12
DHA Phase 13,15,7,6,1,2,3,1,14,5,35007114,12
DHA Phase 13,3,3,2,0,0,1,0,9,2,6836959,12
DHA Phase 13,10,6,5,1,1,3,1,24,3,24309605,12
DHA Phase 13,10,3,2,1,0,1,1,3,1,20579669,12
DHA Phase 13,3,2,1,1,1,1,0,0,4,7627410,12
DHA Phase 13,5,4,4,1,0,3,1,29,3,11552218,12
DHA Phase 13,5,2,2,1,0,1,1,26,2,9616536,12
DHA Phase 13,7,4,3,2,0,2,1,25,5,16440931,12
DHA Phase 13,5,3,3,1,0,2,1,29,3,10158643,12
DHA Phase 13,10,5,5,1,1,1,1,20,3,20894430,12
DHA Phase 13,10,4,4,2,1,2,1,9,2,23195483,12
DHA Phase 13,10,6,5,1,1,3,1,19,5,23719727,12
DHA Phase 13,10,5,4,1,1,2,1,11,2,19949187,12
DHA Phase 13,10,5,5,2,1,2,1,16,2,23449832,12
DHA Phase 13,10,4,3,2,1,3,1,8,5,24001953,12
DHA Phase 13,3,3,3,0,0,1,0,26,2,6368637,12
DHA Phase 13,10,5,5,1,2,3,1,23,4,23015711,12
DHA Phase 13,5,4,3,1,1,1,1,23,2,10830294,12
DHA Phase 13,5,4,4,0,0,2,1,16,4,11934212,12
DHA Phase 13,5,2,1,1,1,1,1,16,5,11040443,12
DHA Phase 13,5,2,2,1,0,1,1,2,4,9934437,12
DHA Phase 13,15,4,3,2,1,3,1,8,3,32302290,12
DHA Phase 13,10,6,6,2,0,2,1,23,4,23520045,12
DHA Phase 13,5,2,1,1,0,2,1,20,4,9769282,12
DHA Phase 13,10,3,2,2,1,2,1,20,2,18903924,12
DHA Phase 13,5,3,2,1,1,1,1,24,3,11033083,12
DHA Phase 13,7,4,3,1,1,3,1,25,4,15460894,12
DHA Phase 13,10,5,4,1,1,3,1,25,4,20060086,12
DHA Phase 13,3,2,2,0,0,1,0,6,5,6462452,12
DHA Phase 13,10,5,4,1,1,3,1,10,5,22634126,12
DHA Phase 13,20,6,6,1,2,2,2,12,3,39264028,12
DHA Phase 13,3,2,2,0,0,1,0,27,4,5725747,12
DHA Phase 13,20,4,4,2,2,3,2,21,1,37908598,12
DHA Phase 13,10,5,4,2,1,2,1,12,3,20577866,12
DHA Phase 13,15,7,6,2,2,3,2,14,4,31884263,12
DHA Phase 13,10,3,3,1,1,2,1,16,2,18620631,12
DHA Phase 13,10,5,4,1,2,2,1,1,5,24263188,12
DHA Phase 13,20,5,4,3,2,3,2,29,3,38436820,12
DHA Phase 13,7,3,3,1,0,2,1,12,2,16047649,12
DHA Phase 13,5,3,3,0,1,2,1,23,3,12171209,12
DHA Phase 13,10,5,5,1,1,2,1,5,2,23911090,12
DHA Phase 13,5,4,4,1,1,2,1,10,5,13643148,12
Cavalry Ground,10,3,2,1,1,2,1,29,1,92463143,8
Cavalry Ground,10,6,5,2,2,3,1,8,5,92483986,8
Cavalry Ground,5,3,3,1,0,2,1,7,2,48999477,8
Cavalry Ground,15,5,5,2,1,3,2,9,4,139224378,8
Cavalry Ground,5,4,3,1,0,1,1,6,1,49914458,8
Cavalry Ground,3,3,3,0,0,1,0,13,1,28387794,8
Cavalry Ground,5,2,2,1,1,1,1,25,2,52556919,8
Cavalry Ground,5,3,3,0,0,1,1,0,1,42791126,8
Cavalry Ground,10,3,3,1,1,3,1,18,5,96535324,8
Cavalry Ground,10,5,5,1,2,2,1,25,5,96568764,8
Cavalry Ground,10,4,3,1,1,1,1,7,1,91258233,8
Cavalry Ground,10,4,3,1,1,2,1,14,3,95854488,8
Cavalry Ground,7,5,4,1,1,1,1,23,2,72357477,8
Cavalry Ground,7,3,3,1,1,1,1,4,5,73572325,8
Cavalry Ground,3,2,1,0,0,1,0,7,5,27263335,8
Cavalry Ground,5,4,3,1,1,2,1,18,4,53345731,8
Cavalry Ground,15,6,5,2,1,2,1,18,1,139536873,8
Cavalry Ground,20,5,4,3,2,2,2,15,3,190111346,8
